IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,IRL,Ireland,Year,2016,true,,,,,,,,,,,,,341,,,,,,341,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2016,true,,,,,,,,,,,,,3720,,,,,,3720,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,ROU,Romania,Year,2016,true,,,,,,,,,,,,,529,,,,,,529,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,GRC,Greece,Year,2016,true,,,,,,,,,,,,,550,,,,,,550,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,NLD,Netherlands,Year,2016,true,,,,,,,,,,,,,5554,,,,,,5554,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,FRA,France,Year,2016,true,,,,,,,,,,,,,5653,,,,,,5653,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2016,true,,,,,,,,,,,,,7693,,,,,,7693,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2015,true,,,,,,,,,,,,,310,,,,,,310,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2015,true,,,,,,,,,,,,,70797,,,,,,70 797,,"Includes Traditional and Complementary Medicine Professionals.  Data Source: Estimated health workforce from Labour Force Survey, ILO 2018",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,BEN,Benin,Year,2013,true,,,,,,,,,,,,,10200,,,,,,10 200,,"Includes Practitioner of traditional medicine and.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D02",EN,2023-01-11T22:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2013,true,,,,,,,,,,,,,317,,,,,,317,,"Includes Traditional and complementary medicine p.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D02",EN,2023-01-11T22:00:00.000Z
