,Project_ID_Number,Project_ID,Master Stats Category Group,Master Stats Category,Program Name,Project Title,Nom du projet,Project Participant Type,Project Type,Project Start Date,Project End Date,Project Instruction Days,Ship,"Pre, Ship, or Post",Country,City,Project Venue,Project Comments,Finance: Location Code,Finance: Program Code,Finance: Purpose Code,powerappID,duplicate
1,24,Burns PUMP Mentoring | Surgeons | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Burns PUMP Mentoring - Surgeons,Programme de mentorat  (PUMP) en brûlures,Surgeons,Mentoring,9/1/2019,3/29/2020,10,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,BPLSN19,NA,Burns PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
12,127,Clean Cut | Participants | 01Mar21-30Jun21 | Off-ship | Liberia | Monrovia | Hospital: Redemption,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: Redemption,Cours de Lifebox - Clean Cut,Participants,Course,3/1/2021,6/30/2021,2,Off-ship,NA,Liberia,Monrovia,Hospital: Redemption,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Mar-2021 - 30-Jun-2021,1
13,128,Clean Cut | Participants | 01Mar21-30Jun21 | Off-ship | Liberia | Gbarnga | Hospital: Phebe,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: Phebe,Cours de Lifebox - Clean Cut,Participants,Course,3/1/2021,6/30/2021,2,Off-ship,NA,Liberia,Gbarnga,Hospital: Phebe,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Mar-2021 - 30-Jun-2021,1
14,129,Clean Cut | Participants | 01Mar21-30Jun21 | Off-ship | Liberia | Tubmanburg | Hospital: Bomi,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: Bomi,Cours de Lifebox - Clean Cut,Participants,Course,3/1/2021,6/30/2021,2,Off-ship,NA,Liberia,Tubmanburg,Hospital: Bomi,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Mar-2021 - 30-Jun-2021,1
15,130,Clean Cut | Participants | 01Mar21-30Jun21 | Off-ship | Liberia | Kakata | Hospital: CH Rennie,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - Hospital: CH Rennie,Cours de Lifebox - Clean Cut,Participants,Course,3/1/2021,6/30/2021,2,Off-ship,NA,Liberia,Kakata,Hospital: CH Rennie,"Courses include: Clean Cut, PPE - Best Practice & Guidelines, Pulse ox distribution and Training",62,LIFEBOX,NA,Clean Cut | Liberia | 01-Mar-2021 - 30-Jun-2021,1
16,291,Clean Cut | Participants | 15Nov22-15Nov22 | Off-ship | Liberia  | Gbarnga | C.B Dunbar Hospital,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - C.B Dunbar Hospital,Cours de Lifebox - Clean Cut,Participants,Course,11/15/2022,11/15/2022,NA,Off-ship,NA,Liberia,Gbarnga,C.B Dunbar Hospital,Sept-Nov21_Clean Cut Statistics for MS Updated.xlsx,NA,NA,NA,Clean Cut | Liberia | 15-Nov-2022 - 15-Nov-2022,1
17,292,Clean Cut | Participants | 15Nov22-15Nov22 | Off-ship | Liberia  | Paynesville Monrovia | ELWA Hospital Chapel,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - ELWA Hospital Chapel,Cours de Lifebox - Clean Cut,Participants,Course,11/15/2022,11/15/2022,NA,Off-ship,NA,Liberia,Paynesville Monrovia,ELWA Hospital Chapel,Sept-Nov21_Clean Cut Statistics for MS Updated.xlsx,NA,NA,NA,Clean Cut | Liberia | 15-Nov-2022 - 15-Nov-2022,1
18,268,Clean Cut | Participants | 21Apr22-22Apr22 | Off-ship | Liberia | Gbarnga | CBD Hospital,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut - CBD Hospital,Cours de Lifebox - Clean Cut,Participants,Course,4/21/2022,4/22/2022,NA,Off-ship,NA,Liberia,Gbarnga,CBD Hospital,April22_Clean Cut Statistics for MS_Sent to Denny.xlsx,NA,NA,NA,Clean Cut | Liberia | 21-Apr-2022 - 22-Apr-2022,1
19,269,Clean Cut | Participants | 21Apr22-22Apr22 | Off-ship | Liberia | Gbarnga | CBD Hospital,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut-1,Cours de Lifebox - Clean Cut,Participants,Course,4/21/2022,4/22/2022,NA,Off-ship,NA,Liberia,Gbarnga,CBD Hospital,April22_Clean Cut Statistics for MS_Sent to Denny.xlsx,NA,NA,NA,Clean Cut | Liberia | 21-Apr-2022 - 22-Apr-2022,1
20,289,Clean Cut | Participants | 22Sep22-22Sep22 | Off-ship | Liberia  | Gbarnga | C.B Dunbar Hospital,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut,Cours de Lifebox - Clean Cut,Participants,Course,9/22/2022,9/22/2022,NA,Off-ship,NA,Liberia,Gbarnga,C.B Dunbar Hospital,Sept-Nov21_Clean Cut Statistics for MS Updated.xlsx,NA,NA,NA,Clean Cut | Liberia | 22-Sep-2022 - 22-Sep-2022,1
21,290,Clean Cut | Participants | 22Sep22-22Sep22 | Off-ship | Liberia  | Gbarnga | C.B Dunbar Hospital,Educational and Spiritual Assistance,Medical Courses,Lifebox,Clean Cut-1,Cours de Lifebox - Clean Cut,Participants,Course,9/22/2022,9/22/2022,NA,Off-ship,NA,Liberia,Gbarnga,C.B Dunbar Hospital,Sept-Nov21_Clean Cut Statistics for MS Updated.xlsx,NA,NA,NA,Clean Cut | Liberia | 22-Sep-2022 - 22-Sep-2022,1
